id,cost,detail,icon,gender,culture / context,when?,source,link 1,,
55,4879,"Price paid by pimp to trafficker, Canada",girl,female,Canada,2012,"Havoscope, The Vancouver Sun",http://www.havocscope.com/price-of-humans-in-canada/,,
56,5000,"Teenage girl, virgin (Iraq)",girl,female,Iraq,2011,"Havoscope, IPS News Agency",http://www.havocscope.com/price-of-virgins-in-iraq/,,
57,2500,"Teenage girl, non-virgin (Iraq)",girl,female,Iraq,2011,"Havoscope, IPS News Agency",http://www.havocscope.com/price-of-virgins-in-iraq/,,
58,5989,Trafficked girl from Quebec into sex slavery ,girl,female,Canada,2012,"Havoscope, The Toronto Sun",http://www.havocscope.com/price-of-victims-in-ontario/,,
59,342,"Trafficked woman, Pakistan",female,female,Pakistan,2011,"Havoscope, International Herald Tribune",http://www.havocscope.com/price-of-woman-sold-in-pakistan/,,
60,7300,"Bride to China, purchased from Myanmar",girl,female,China,2010,"Havoscope, Global Post",http://www.havocscope.com/women-of-myanmar-sold-in-china/,,
61,700,Girl aged 16-18 sold in rural China,girl,female,China,2012,"Havoscope, Voice of America",http://www.havocscope.com/women-of-myanmar-sold-in-china/,,
62,975,"Trafficked woman, Nepal to Mumbai",girl,female,"Nepal, Mumbai, Middle East",2011,"Havoscope, eKantipur.com",http://www.havocscope.com/price-of-nepali-women-sold-in-mumbai/,,
63,40000,"Nigerian woman, Italy",female,female,"Nigeria, Italy",2012,"Havoscope, Voice of America",http://www.havocscope.com/nigerian-women-trafficked-into-italy/,,
64,78000,"Nigerian woman, Italy",female,female,"Nigeria, Italy",2012,"Havoscope, Voice of America",http://www.havocscope.com/nigerian-women-trafficked-into-italy/,,
65,1066,"Woman, 20s (N Korea)",female,female,North Korea,2011,"Havoscope, Radio Free Asia",http://www.havocscope.com/price-of-north-korean-women-by-age/,,
66,761,"Woman, 30s (N Korea)",female,female,North Korea,2011,"Havoscope, Radio Free Asia",http://www.havocscope.com/price-of-north-korean-women-by-age/,,
67,457,"Woman, 40s (N Korea)",female,female,North Korea,2011,"Havoscope, Radio Free Asia",http://www.havocscope.com/price-of-north-korean-women-by-age/,,
68,5849,"Bride to Malaysia, purchased from Vietnam",female,female,"Vietnam, Malaysia",2012,"Havoscope, Borneo Post",http://www.havocscope.com/price-paid-by-malaysian-men-for-marriage/,,
69,1000,Bride in Mali,female,female,Mali ,2012,"Havoscope, BBC",http://www.havocscope.com/price-to-buy-child-soldier-in-mali/,,
71,46,Burmese child soldier,child_solider,male,Burma,2004,Human Rights Watch; US inflation adjustment,http://www.hrw.org/sites/default/files/reports/burma1007webwcover.pdf,,
72,32,child cattle herder,child,both,Chad,2004,"Irin News, US inflation adjustment",http://www.irinnews.org/report/52490/chad-children-sold-into-slavery-for-the-price-of-a-calf,,
73,68,domestic slavery in Nepal (kamalari),female,female,Nepal,2007,"BBC News., US inflation adjustment",http://news.bbc.co.uk/1/hi/world/south_asia/6405373.stm,,
74,78,forced labour in illegal brickyards,child,both,China,2011,Time; US inflation adjustment,http://world.time.com/2011/09/08/another-slavery-scandal-uncovered-in-central-china/,,
75,200,"temporary ""pleasure marriage"""" to a Syrian refugee""",girl,female,Syria,2012,The National; Washington Post,http://www.thenational.ae/thenationalconversation/comment/online-trafficking-of-syrian-women-shames-all-involved,,
77,110,cost of FREEDOM from forced cotton labour,adult,both,Uzbekistan,2012,Guardian,http://www.guardian.co.uk/business/2012/dec/15/cotton-child-labour-uzbekistan-fashion,,
